age_years,age_months,nutrient,value,unit,drv_type,zinc_phytate_mgpd
0,10,Biotin,6,μg/d,AI,
0,10,Choline,160,mg/d,AI,
0,10,Cobalamin,1.5,μg/d,AI,
0,10,Folate,80,μg DFE/d,PRI,
0,10,Niacin,1.6,mg NE/MJ,PRI,
0,10,Pantothenic Acid,3,mg/d,AI,
0,10,Riboflavin,0.4,mg/d,PRI,
0,10,Thiamin,0.1,mg/MJ,PRI,
0,10,Vitamin A,250,μg RE/d,PRI,
0,10,Vitamin B6,0.3,mg/d,PRI,
0,10,Vitamin C,20,mg/d,PRI,
0,10,Vitamin D,10,μg/d,AI,
0,10,Vitamin K,10,μg/d,AI,
0,11,Protein,1.31,g/kg bw per day,PRI,
0,11,Total Fat,40,E%,RI,
0,11,SFA,ALAP,,AI,
0,11,LA,4,E%,AI,
0,11,ALA,0.5,E%,AI,
0,11,EPA+DHA,,mg/d,AI,
0,11,DHA,100,mg/d,AI,
0,11,TFA,ALAP,,AI,
0,11,Total Carbohydrates,,E%,RI,
0,11,Dietary Fibre,,g/d,AI,
0,11,Water,0.8-1.0,L/d,AI,
0,11,Calcium,280,mg/d,PRI,
0,11,Fluoride,0.4,mg/d,AI,
0,11,Iodine,70,μg/d,AI,
0,11,Manganese,0.02-0.5,mg/d,AI,
0,11,Molybdenum,10,μg/d,AI,
0,11,Phosphorus,160,mg/d,AI,
0,11,Potassium,750,mg/d,AI,
0,11,Selenium,15,μg/d,AI,
0,11,Iron,11,mg/d,PRI,
0,11,Copper,0.4,mg/d,AI,
0,11,Magnesium,80,mg/d,AI,
0,11,Zinc,2.9,mg/d,PRI,
0,11,α-Tocopherol,5,mg/d,AI,
0,11,Biotin,6,μg/d,AI,
0,11,Choline,160,mg/d,AI,
0,11,Cobalamin,1.5,μg/d,AI,
0,11,Folate,80,μg DFE/d,PRI,
0,11,Niacin,1.6,mg NE/MJ,PRI,
0,11,Pantothenic Acid,3,mg/d,AI,
0,11,Riboflavin,0.4,mg/d,PRI,
0,11,Thiamin,0.1,mg/MJ,PRI,
0,11,Vitamin A,250,μg RE/d,PRI,
0,11,Vitamin B6,0.3,mg/d,PRI,
0,11,Vitamin C,20,mg/d,PRI,
0,11,Vitamin D,10,μg/d,AI,
0,11,Vitamin K,10,μg/d,AI,
1,0,Protein,1.14,g/kg bw per day,PRI,
1,0,Total Fat,35-40,E%,RI,
1,0,SFA,ALAP,,AI,
1,0,LA,4,E%,AI,
1,0,ALA,0.5,E%,AI,
1,0,EPA+DHA,,mg/d,AI,
1,0,DHA,100,mg/d,AI,
1,0,TFA,ALAP,,AI,
1,0,Total Carbohydrates,45-60,E%,RI,
1,0,Dietary Fibre,10,g/d,AI,
1,0,Water,1.1-1.2,L/d,AI,
1,0,Calcium,450,mg/d,PRI,
1,0,Fluoride,0.6,mg/d,AI,
1,0,Iodine,90,μg/d,AI,
1,0,Manganese,0.5,mg/d,AI,
1,0,Molybdenum,15,μg/d,AI,
1,0,Phosphorus,250,mg/d,AI,
1,0,Potassium,800,mg/d,AI,
1,0,Selenium,15,μg/d,AI,
1,0,Iron,7,mg/d,PRI,
1,0,Copper,0.7,mg/d,AI,
1,0,Magnesium,170,mg/d,AI,
1,0,Zinc,4.3,mg/d,PRI,
1,0,α-Tocopherol,6,mg/d,AI,
1,0,Biotin,20,μg/d,AI,
1,0,Choline,140,mg/d,AI,
1,0,Cobalamin,1.5,μg/d,AI,
1,0,Folate,120,μg DFE/d,PRI,
1,0,Niacin,1.6,mg NE/MJ,PRI,
1,0,Pantothenic Acid,4,mg/d,AI,
1,0,Riboflavin,0.6,mg/d,PRI,
1,0,Thiamin,0.1,mg/MJ,PRI,
1,0,Vitamin A,250,μg RE/d,PRI,
1,0,Vitamin B6,0.6,mg/d,PRI,
1,0,Vitamin C,20,mg/d,PRI,
1,0,Vitamin D,15,μg/d,AI,
1,0,Vitamin K,12,μg/d,AI,
1,6,Protein,1.03,g/kg bw per day,PRI,
1,6,Total Fat,35-40,E%,RI,
1,6,SFA,ALAP,,AI,
1,6,LA,4,E%,AI,
1,6,ALA,0.5,E%,AI,
1,6,EPA+DHA,,mg/d,AI,
1,6,DHA,100,mg/d,AI,
1,6,TFA,ALAP,,AI,
1,6,Total Carbohydrates,45-60,E%,RI,
1,6,Dietary Fibre,10,g/d,AI,
1,6,Water,1.1-1.2,L/d,AI,
1,6,Calcium,450,mg/d,PRI,
1,6,Fluoride,0.6,mg/d,AI,
1,6,Iodine,90,μg/d,AI,
1,6,Manganese,0.5,mg/d,AI,
1,6,Molybdenum,15,μg/d,AI,
1,6,Phosphorus,250,mg/d,AI,
1,6,Potassium,800,mg/d,AI,
1,6,Selenium,15,μg/d,AI,
1,6,Iron,7,mg/d,PRI,
1,6,Copper,0.7,mg/d,AI,
1,6,Magnesium,170,mg/d,AI,
1,6,Zinc,4.3,mg/d,PRI,
1,6,α-Tocopherol,6,mg/d,AI,
1,6,Biotin,20,μg/d,AI,
1,6,Choline,140,mg/d,AI,
1,6,Cobalamin,1.5,μg/d,AI,
1,6,Folate,120,μg DFE/d,PRI,
1,6,Niacin,1.6,mg NE/MJ,PRI,
1,6,Pantothenic Acid,4,mg/d,AI,
1,6,Riboflavin,0.6,mg/d,PRI,
1,6,Thiamin,0.1,mg/MJ,PRI,
1,6,Vitamin A,250,μg RE/d,PRI,
1,6,Vitamin B6,0.6,mg/d,PRI,
1,6,Vitamin C,20,mg/d,PRI,
1,6,Vitamin D,15,μg/d,AI,
1,6,Vitamin K,12,μg/d,AI,
2,0,Protein,0.97,g/kg bw per day,PRI,
2,0,Total Fat,35-40,E%,RI,
2,0,SFA,ALAP,,AI,
2,0,LA,4,E%,AI,
2,0,ALA,0.5,E%,AI,
2,0,EPA+DHA,250,mg/d,AI,
2,0,DHA,,mg/d,AI,
2,0,TFA,ALAP,,AI,
2,0,Total Carbohydrates,45-60,E%,RI,
2,0,Dietary Fibre,10,g/d,AI,
2,0,Water,1.3,L/d,AI,
2,0,Calcium,450,mg/d,PRI,
2,0,Fluoride,0.6,mg/d,AI,
2,0,Iodine,90,μg/d,AI,
2,0,Manganese,0.5,mg/d,AI,
2,0,Molybdenum,15,μg/d,AI,
2,0,Phosphorus,250,mg/d,AI,
2,0,Potassium,800,mg/d,AI,
2,0,Selenium,15,μg/d,AI,
2,0,Iron,7,mg/d,PRI,
2,0,Copper,0.7,mg/d,AI,
2,0,Magnesium,170,mg/d,AI,
2,0,Zinc,4.3,mg/d,PRI,
2,0,α-Tocopherol,6,mg/d,AI,
2,0,Biotin,20,μg/d,AI,
2,0,Choline,140,mg/d,AI,
2,0,Cobalamin,1.5,μg/d,AI,
2,0,Folate,120,μg DFE/d,PRI,
2,0,Niacin,1.6,mg NE/MJ,PRI,
2,0,Pantothenic Acid,4,mg/d,AI,
2,0,Riboflavin,0.6,mg/d,PRI,
2,0,Thiamin,0.1,mg/MJ,PRI,
2,0,Vitamin A,250,μg RE/d,PRI,
2,0,Vitamin B6,0.6,mg/d,PRI,
2,0,Vitamin C,20,mg/d,PRI,
2,0,Vitamin D,15,μg/d,AI,
2,0,Vitamin K,12,μg/d,AI,
3,0,Protein,0.9,g/kg bw per day,PRI,
3,0,Total Fat,35-40,E%,RI,
3,0,SFA,ALAP,,AI,
3,0,LA,4,E%,AI,
3,0,ALA,0.5,E%,AI,
3,0,EPA+DHA,250,mg/d,AI,
3,0,DHA,,mg/d,AI,
3,0,TFA,ALAP,,AI,
3,0,Total Carbohydrates,45-60,E%,RI,
3,0,Dietary Fibre,10,g/d,AI,
3,0,Water,1.3,L/d,AI,
3,0,Calcium,450,mg/d,PRI,
3,0,Fluoride,0.6,mg/d,AI,
3,0,Iodine,90,μg/d,AI,
3,0,Manganese,0.5,mg/d,AI,
3,0,Molybdenum,15,μg/d,AI,
3,0,Phosphorus,440,mg/d,AI,
3,0,Potassium,800,mg/d,AI,
3,0,Selenium,15,μg/d,AI,
3,0,Iron,7,mg/d,PRI,
3,0,Copper,1,mg/d,AI,
3,0,Magnesium,230,mg/d,AI,
3,0,Zinc,4.3,mg/d,PRI,
3,0,α-Tocopherol,9,mg/d,AI,
3,0,Biotin,20,μg/d,AI,
3,0,Choline,140,mg/d,AI,
3,0,Cobalamin,1.5,μg/d,AI,
3,0,Folate,120,μg DFE/d,PRI,
3,0,Niacin,1.6,mg NE/MJ,PRI,
3,0,Pantothenic Acid,4,mg/d,AI,
3,0,Riboflavin,0.6,mg/d,PRI,
3,0,Thiamin,0.1,mg/MJ,PRI,
3,0,Vitamin A,250,μg RE/d,PRI,
3,0,Vitamin B6,0.6,mg/d,PRI,
3,0,Vitamin C,20,mg/d,PRI,
3,0,Vitamin D,15,μg/d,AI,
3,0,Vitamin K,12,μg/d,AI,
4,0,Protein,0.86,g/kg bw per day,PRI,
4,0,Total Fat,20-35,E%,RI,
4,0,SFA,ALAP,,AI,
4,0,LA,4,E%,AI,
4,0,ALA,0.5,E%,AI,
4,0,EPA+DHA,250,mg/d,AI,
4,0,DHA,,mg/d,AI,
4,0,TFA,ALAP,,AI,
4,0,Total Carbohydrates,45-60,E%,RI,
4,0,Dietary Fibre,14,g/d,AI,
4,0,Water,1.6,L/d,AI,
4,0,Calcium,800,mg/d,PRI,
4,0,Fluoride,1,mg/d,AI,
4,0,Iodine,90,μg/d,AI,
4,0,Manganese,1,mg/d,AI,
4,0,Molybdenum,20,μg/d,AI,
4,0,Phosphorus,440,mg/d,AI,
4,0,Potassium,1100,mg/d,AI,
4,0,Selenium,20,μg/d,AI,
4,0,Iron,7,mg/d,PRI,
4,0,Copper,1,mg/d,AI,
4,0,Magnesium,230,mg/d,AI,
4,0,Zinc,5.5,mg/d,PRI,
4,0,α-Tocopherol,9,mg/d,AI,
4,0,Biotin,25,μg/d,AI,
4,0,Choline,170,mg/d,AI,
4,0,Cobalamin,1.5,μg/d,AI,
4,0,Folate,140,μg DFE/d,PRI,
4,0,Niacin,1.6,mg NE/MJ,PRI,
4,0,Pantothenic Acid,4,mg/d,AI,
4,0,Riboflavin,0.7,mg/d,PRI,
4,0,Thiamin,0.1,mg/MJ,PRI,
4,0,Vitamin A,300,μg RE/d,PRI,
4,0,Vitamin B6,0.7,mg/d,PRI,
4,0,Vitamin C,30,mg/d,PRI,
4,0,Vitamin D,15,μg/d,AI,
4,0,Vitamin K,20,μg/d,AI,
5,0,Protein,0.85,g/kg bw per day,PRI,
5,0,Total Fat,20-35,E%,RI,
5,0,SFA,ALAP,,AI,
5,0,LA,4,E%,AI,
5,0,ALA,0.5,E%,AI,
5,0,EPA+DHA,250,mg/d,AI,
5,0,DHA,,mg/d,AI,
5,0,TFA,ALAP,,AI,
5,0,Total Carbohydrates,45-60,E%,RI,
5,0,Dietary Fibre,14,g/d,AI,
5,0,Water,1.6,L/d,AI,
5,0,Calcium,800,mg/d,PRI,
5,0,Fluoride,1,mg/d,AI,
5,0,Iodine,90,μg/d,AI,
5,0,Manganese,1,mg/d,AI,
5,0,Molybdenum,20,μg/d,AI,
5,0,Phosphorus,440,mg/d,AI,
5,0,Potassium,1100,mg/d,AI,
5,0,Selenium,20,μg/d,AI,
5,0,Iron,7,mg/d,PRI,
5,0,Copper,1,mg/d,AI,
5,0,Magnesium,230,mg/d,AI,
5,0,Zinc,5.5,mg/d,PRI,
5,0,α-Tocopherol,9,mg/d,AI,
5,0,Biotin,25,μg/d,AI,
5,0,Choline,170,mg/d,AI,
5,0,Cobalamin,1.5,μg/d,AI,
5,0,Folate,140,μg DFE/d,PRI,
5,0,Niacin,1.6,mg NE/MJ,PRI,
5,0,Pantothenic Acid,4,mg/d,AI,
5,0,Riboflavin,0.7,mg/d,PRI,
5,0,Thiamin,0.1,mg/MJ,PRI,
5,0,Vitamin A,300,μg RE/d,PRI,
5,0,Vitamin B6,0.7,mg/d,PRI,
5,0,Vitamin C,30,mg/d,PRI,
5,0,Vitamin D,15,μg/d,AI,
5,0,Vitamin K,20,μg/d,AI,
6,0,Protein,0.89,g/kg bw per day,PRI,
6,0,Total Fat,20-35,E%,RI,
6,0,SFA,ALAP,,AI,
6,0,LA,4,E%,AI,
6,0,ALA,0.5,E%,AI,
6,0,EPA+DHA,250,mg/d,AI,
6,0,DHA,,mg/d,AI,
6,0,TFA,ALAP,,AI,
6,0,Total Carbohydrates,45-60,E%,RI,
6,0,Dietary Fibre,14,g/d,AI,
6,0,Water,1.6,L/d,AI,
6,0,Calcium,800,mg/d,PRI,
6,0,Fluoride,1,mg/d,AI,
6,0,Iodine,90,μg/d,AI,
6,0,Manganese,1,mg/d,AI,
6,0,Molybdenum,20,μg/d,AI,
6,0,Phosphorus,440,mg/d,AI,
6,0,Potassium,1100,mg/d,AI,
6,0,Selenium,20,μg/d,AI,
6,0,Iron,7,mg/d,PRI,
6,0,Copper,1,mg/d,AI,
6,0,Magnesium,230,mg/d,AI,
6,0,Zinc,5.5,mg/d,PRI,
6,0,α-Tocopherol,9,mg/d,AI,
6,0,Biotin,25,μg/d,AI,
6,0,Choline,170,mg/d,AI,
6,0,Cobalamin,1.5,μg/d,AI,
6,0,Folate,140,μg DFE/d,PRI,
6,0,Niacin,1.6,mg NE/MJ,PRI,
6,0,Pantothenic Acid,4,mg/d,AI,
6,0,Riboflavin,0.7,mg/d,PRI,
6,0,Thiamin,0.1,mg/MJ,PRI,
6,0,Vitamin A,300,μg RE/d,PRI,
6,0,Vitamin B6,0.7,mg/d,PRI,
6,0,Vitamin C,30,mg/d,PRI,
6,0,Vitamin D,15,μg/d,AI,
6,0,Vitamin K,20,μg/d,AI,
7,0,Protein,0.91,g/kg bw per day,PRI,
7,0,Total Fat,20-35,E%,RI,
7,0,SFA,ALAP,,AI,
7,0,LA,4,E%,AI,
7,0,ALA,0.5,E%,AI,
7,0,EPA+DHA,250,mg/d,AI,
7,0,DHA,,mg/d,AI,
7,0,TFA,ALAP,,AI,
7,0,Total Carbohydrates,45-60,E%,RI,
7,0,Dietary Fibre,16,g/d,AI,
7,0,Water,1.6,L/d,AI,
7,0,Calcium,800,mg/d,PRI,
7,0,Fluoride,1.5,mg/d,AI,
7,0,Iodine,90,μg/d,AI,
7,0,Manganese,1.5,mg/d,AI,
7,0,Molybdenum,30,μg/d,AI,
7,0,Phosphorus,440,mg/d,AI,
7,0,Potassium,1100,mg/d,AI,
7,0,Selenium,35,μg/d,AI,
7,0,Iron,11,mg/d,PRI,
7,0,Copper,1,mg/d,AI,
7,0,Magnesium,230,mg/d,AI,
7,0,Zinc,7.4,mg/d,PRI,
7,0,α-Tocopherol,9,mg/d,AI,
7,0,Biotin,25,μg/d,AI,
7,0,Choline,250,mg/d,AI,
7,0,Cobalamin,2.5,μg/d,AI,
7,0,Folate,200,μg DFE/d,PRI,
7,0,Niacin,1.6,mg NE/MJ,PRI,
7,0,Pantothenic Acid,4,mg/d,AI,
7,0,Riboflavin,1,mg/d,PRI,
7,0,Thiamin,0.1,mg/MJ,PRI,
7,0,Vitamin A,400,μg RE/d,PRI,
7,0,Vitamin B6,1,mg/d,PRI,
7,0,Vitamin C,45,mg/d,PRI,
7,0,Vitamin D,15,μg/d,AI,
7,0,Vitamin K,30,μg/d,AI,
8,0,Protein,0.92,g/kg bw per day,PRI,
8,0,Total Fat,20-35,E%,RI,
8,0,SFA,ALAP,,AI,
8,0,LA,4,E%,AI,
8,0,ALA,0.5,E%,AI,
8,0,EPA+DHA,250,mg/d,AI,
8,0,DHA,,mg/d,AI,
8,0,TFA,ALAP,,AI,
8,0,Total Carbohydrates,45-60,E%,RI,
8,0,Dietary Fibre,16,g/d,AI,
8,0,Water,1.6,L/d,AI,
8,0,Calcium,800,mg/d,PRI,
8,0,Fluoride,1.5,mg/d,AI,
8,0,Iodine,90,μg/d,AI,
8,0,Manganese,1.5,mg/d,AI,
8,0,Molybdenum,30,μg/d,AI,
8,0,Phosphorus,440,mg/d,AI,
8,0,Potassium,1100,mg/d,AI,
8,0,Selenium,35,μg/d,AI,
8,0,Iron,11,mg/d,PRI,
8,0,Copper,1,mg/d,AI,
8,0,Magnesium,230,mg/d,AI,
8,0,Zinc,7.4,mg/d,PRI,
8,0,α-Tocopherol,9,mg/d,AI,
8,0,Biotin,25,μg/d,AI,
8,0,Choline,250,mg/d,AI,
8,0,Cobalamin,2.5,μg/d,AI,
8,0,Folate,200,μg DFE/d,PRI,
8,0,Niacin,1.6,mg NE/MJ,PRI,
8,0,Pantothenic Acid,4,mg/d,AI,
8,0,Riboflavin,1,mg/d,PRI,
8,0,Thiamin,0.1,mg/MJ,PRI,
8,0,Vitamin A,400,μg RE/d,PRI,
8,0,Vitamin B6,1,mg/d,PRI,
8,0,Vitamin C,45,mg/d,PRI,
8,0,Vitamin D,15,μg/d,AI,
8,0,Vitamin K,30,μg/d,AI,
9,0,Protein,0.92,g/kg bw per day,PRI,
9,0,Total Fat,20-35,E%,RI,
9,0,SFA,ALAP,,AI,
9,0,LA,4,E%,AI,
9,0,ALA,0.5,E%,AI,
9,0,EPA+DHA,250,mg/d,AI,
9,0,DHA,,mg/d,AI,
9,0,TFA,ALAP,,AI,
9,0,Total Carbohydrates,45-60,E%,RI,
9,0,Dietary Fibre,16,g/d,AI,
9,0,Water,2.1,L/d,AI,
9,0,Calcium,800,mg/d,PRI,
9,0,Fluoride,1.5,mg/d,AI,
9,0,Iodine,90,μg/d,AI,
9,0,Manganese,1.5,mg/d,AI,
9,0,Molybdenum,30,μg/d,AI,
9,0,Phosphorus,440,mg/d,AI,
9,0,Potassium,1100,mg/d,AI,
9,0,Selenium,35,μg/d,AI,
9,0,Iron,11,mg/d,PRI,
9,0,Copper,1,mg/d,AI,
9,0,Magnesium,230,mg/d,AI,
9,0,Zinc,7.4,mg/d,PRI,
9,0,α-Tocopherol,9,mg/d,AI,
9,0,Biotin,25,μg/d,AI,
9,0,Choline,250,mg/d,AI,
9,0,Cobalamin,2.5,μg/d,AI,
9,0,Folate,200,μg DFE/d,PRI,
9,0,Niacin,1.6,mg NE/MJ,PRI,
9,0,Pantothenic Acid,4,mg/d,AI,
9,0,Riboflavin,1,mg/d,PRI,
9,0,Thiamin,0.1,mg/MJ,PRI,
9,0,Vitamin A,400,μg RE/d,PRI,
9,0,Vitamin B6,1,mg/d,PRI,
9,0,Vitamin C,45,mg/d,PRI,
9,0,Vitamin D,15,μg/d,AI,
9,0,Vitamin K,30,μg/d,AI,
10,0,Protein,0.91,g/kg bw per day,PRI,
10,0,Total Fat,20-35,E%,RI,
10,0,SFA,ALAP,,AI,
10,0,LA,4,E%,AI,
10,0,ALA,0.5,E%,AI,
10,0,EPA+DHA,250,mg/d,AI,
10,0,DHA,,mg/d,AI,
10,0,TFA,ALAP,,AI,
10,0,Total Carbohydrates,45-60,E%,RI,
10,0,Dietary Fibre,16,g/d,AI,
10,0,Water,2.1,L/d,AI,
10,0,Calcium,800,mg/d,PRI,
10,0,Fluoride,1.5,mg/d,AI,
10,0,Iodine,90,μg/d,AI,
10,0,Manganese,1.5,mg/d,AI,
10,0,Molybdenum,30,μg/d,AI,
10,0,Phosphorus,440,mg/d,AI,
10,0,Potassium,1100,mg/d,AI,
10,0,Selenium,35,μg/d,AI,
10,0,Iron,11,mg/d,PRI,
10,0,Copper,1.3,mg/d,AI,
10,0,Magnesium,300,mg/d,AI,
10,0,Zinc,7.4,mg/d,PRI,
10,0,α-Tocopherol,13,mg/d,AI,
10,0,Biotin,25,μg/d,AI,
10,0,Choline,250,mg/d,AI,
10,0,Cobalamin,2.5,μg/d,AI,
10,0,Folate,200,μg DFE/d,PRI,
10,0,Niacin,1.6,mg NE/MJ,PRI,
10,0,Pantothenic Acid,4,mg/d,AI,
10,0,Riboflavin,1,mg/d,PRI,
10,0,Thiamin,0.1,mg/MJ,PRI,
10,0,Vitamin A,400,μg RE/d,PRI,
10,0,Vitamin B6,1,mg/d,PRI,
10,0,Vitamin C,45,mg/d,PRI,
10,0,Vitamin D,15,μg/d,AI,
10,0,Vitamin K,30,μg/d,AI,
11,0,Protein,0.91,g/kg bw per day,PRI,
11,0,Total Fat,20-35,E%,RI,
11,0,SFA,ALAP,,AI,
11,0,LA,4,E%,AI,
11,0,ALA,0.5,E%,AI,
11,0,EPA+DHA,250,mg/d,AI,
11,0,DHA,,mg/d,AI,
11,0,TFA,ALAP,,AI,
11,0,Total Carbohydrates,45-60,E%,RI,
11,0,Dietary Fibre,19,g/d,AI,
11,0,Water,2.1,L/d,AI,
11,0,Calcium,1150,mg/d,PRI,
11,0,Fluoride,2.2,mg/d,AI,
11,0,Iodine,120,μg/d,AI,
11,0,Manganese,2,mg/d,AI,
11,0,Molybdenum,45,μg/d,AI,
11,0,Phosphorus,640,mg/d,AI,
11,0,Potassium,2700,mg/d,AI,
11,0,Selenium,55,μg/d,AI,
11,0,Iron,11,mg/d,PRI,
11,0,Copper,1.3,mg/d,AI,
11,0,Magnesium,300,mg/d,AI,
11,0,Zinc,10.7,mg/d,PRI,
11,0,α-Tocopherol,13,mg/d,AI,
11,0,Biotin,35,μg/d,AI,
11,0,Choline,340,mg/d,AI,
11,0,Cobalamin,3.5,μg/d,AI,
11,0,Folate,270,μg DFE/d,PRI,
11,0,Niacin,1.6,mg NE/MJ,PRI,
11,0,Pantothenic Acid,5,mg/d,AI,
11,0,Riboflavin,1.4,mg/d,PRI,
11,0,Thiamin,0.1,mg/MJ,PRI,
11,0,Vitamin A,600,μg RE/d,PRI,
11,0,Vitamin B6,1.4,mg/d,PRI,
11,0,Vitamin C,70,mg/d,PRI,
11,0,Vitamin D,15,μg/d,AI,
11,0,Vitamin K,45,μg/d,AI,
12,0,Protein,0.9,g/kg bw per day,PRI,
12,0,Total Fat,20-35,E%,RI,
12,0,SFA,ALAP,,AI,
12,0,LA,4,E%,AI,
12,0,ALA,0.5,E%,AI,
12,0,EPA+DHA,250,mg/d,AI,
12,0,DHA,,mg/d,AI,
